,Titel,Text,Form,Ort,Datum,Lemmata,CodedLemmata_spaCy,Female_coded_words_spaCy,Male_coded_words_spaCy,Number_Female_coded_words_spaCy,Number_Male_coded_words_spaCy
23,Software Development Engineer," EU Ops Concessions is seeking a Software Development Engineer who will be part of a new team that is defining and building innovative products and service capabilities to reduce operational defects. The person in this position will focus on the network-wide topic of undelivered shipments and have unique possibility to support the development of the entire new program to make sure products safely return to Amazon. Come join the team and help us make history! Work with program managers and partner with Operations, Finance, Technology, Change Management and Customer Experience teams in understanding the business requirements and implementing solutions to support operations.  Collaborating with central software development teams to develop and implement software for operational use  Design, develop and maintain scaled, automated, user-friendly systems and tools, enabling operations to serve customers better  Develop and support the analytical technologies that give our customers timely, flexible and structured access to their data.  Understanding of Amazon's data resources (SQS, SNS, and Firehose), which to use, how, and to implement them for automated workflows Experience (non-internship) in professional software development Experience designing or architecting (design patterns, reliability and scaling) of new and existing systems Experience programming with at least one modern language such as Java, C++, or C# including object-oriented design Experience with full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations",,Würzburg,Ende März,[],{'male-coded': ['RATIONAL']},[],['RATIONAL'],0,1
24,Application Engineers (m/w/d) für die Bereiche Coating und Imprint Processes," Innovative Produkte für namhafte Kunden in einem zukunftsorientierten, internationalen Markt  das ist SÜSS MicroTec. Die SÜSS-Gruppe mit Hauptsitz in Garching bei München entwickelt und fertigt Prozesslösungen für die Mikrostrukturanwendungen in der Halbleiterindustrie und verwandten Märkten  ein Bereich, in dem SÜSS MicroTec über 75 Jahre Erfahrung verfügt. Unser Portfolio umfasst ein breites Spektrum an Produkten und Lösungen für die Bereiche Backend-Lithografie, Wafer-Bonding und Fotomaskenreinigung. Hinzu kommen hochspezialisierte Lithografie-Tools für das Imprinting. Experte für die Anwendung von SUSS MicroTec-Maschinen  Entwicklung &amp; Durchführung von Lithographie- / Bonding-Prozessen für Kunden in unserem Demo-Reinraum Präsentation von SUSS-Maschinen und Halbleiterprozessen im Rahmen von Kundendemos in Zusammenarbeit mit unserem Vertrieb Durchführung von Prozesstrainings und Maschinenabnahmen weltweit beim Kunden vor Ort Maßgebliche Unterstützung der R&amp;D-Abteilung zur Weiterentwicklung unserer Anlagen  Präsentation von Ergebnissen intern, beim Kunden und auf Konferenzen Abgeschlossenes Studium in Mikrostrukturierung, Materialwissenschaften, Chemie, Physik, Maschinenbau oder in einer vergleichbaren Fachrichtung Erfahrung im Bereich Halbleitertechnologie oder Sondermaschinenbau von Vorteil Starke Lösungsorientierung und hohe Eigeninitiative, den Dingen auf den Grund zu gehen Hohes Maß an Innovationsfreude, Flexibilität und weltweiter Reisebereitschaft Spaß am direkten Umgang mit Kunden und starke Kommunikationsfähigkeiten Ausgeprägte Teamfähigkeit sowie lösungsorientierte und organisierte Arbeitsweise Sehr gute Englischkenntnisse Zielgerichtete Weiterentwicklung",,Würzburg,Ende März,[],"{'male-coded': ['DIREKT', 'EIGENINITIATIV', 'LÖSUNGSORIENTIERT']}",[],"['DIREKT', 'EIGENINITIATIV', 'LÖSUNGSORIENTIERT']",0,3
25,IT 1st & 2nd Level Support (m/w/d)," Innovative Produkte für namhafte Kunden in einem zukunftsorientierten, internationalen Markt  das ist SÜSS MicroTec. Die SÜSS-Gruppe mit Hauptsitz in Garching bei München entwickelt und fertigt Prozesslösungen für die Mikrostrukturanwendungen in der Halbleiterindustrie und verwandten Märkten  ein Bereich, in dem SÜSS MicroTec über 75 Jahre Erfahrung verfügt. Unser Portfolio umfasst ein breites Spektrum an Produkten und Lösungen für die Bereiche Backend-Lithografie, Wafer-Bonding und Fotomaskenreinigung. Hinzu kommen hochspezialisierte Lithografie-Tools für das Imprinting. Kommunikation mit den Mitarbeitern und Kollegen Verantwortung für die komplette Bearbeitung und Dokumentation im Ticketsystem  Sofortige Klassifizierung von Mitarbeiteranfragen Fehleranalyse und -behebung Direkte Problemlösung im 1st und 2nd Level, insbesondere im Bereich Microsoft-Technologien (Windows Clients, Windows 10 und Office 365, mobile Endgeräte) Einstufung, ob ein Problem direkt gelöst werden kann oder an einen Spezialisten weitergeleitet werden muss Abgeschlossene Ausbildung im IT-Bereich oder vergleichbare Qualifikation Erfahrungen in der Einrichtung und Nutzung von Helpdesk-Systemen, Spezifische Kenntnisse im Umgang mit Benutzeranfragen, hohes Dienstleistungsdenken Kommunikationsstärke und ausgeprägte Kundenorientierung Teamfähigkeit und die Fähigkeit, in einem dynamischen Umfeld zu arbeiten Gute Deutsch- und Englischkenntnisse Zielgerichtete Weiterentwicklung",,Würzburg,Ende März,[],{'male-coded': ['DIREKT']},[],['DIREKT'],0,1
26,Software-Ingenieur Lenkflugkörper (gn)," Simulation und Modellbildung ist der Bereich, in dem Sie wachsen wollen? Sie möchten Ihre Kenntnisse in Matlab/Simulink, zusammen mit Expert:innen, verbessern und ein Teil des Software Entwicklungsteams werden? Die Unterstützung der fliegenden Besatzungen der deutschen Luftwaffe liegt Ihnen am Herzen? Die Simulationsmodelle, die Sie implementieren wird für eine Software benötigt, die zur Ausbildung von Piloten der Luftwaffe dient. Sie analysieren die Leistungsfähigkeit verschiedener Lenkflugkörper und leiten daraus Anforderungen ab, um möglichst realitätsnahe Simulationsmodelle entwickeln zu können, diese dienen zur Unterstützung der fliegerischen Ausbildung Sie gestalten das Teilprojekt ""Lenkflugkörper-Simulationsentwicklung"" eigenverantwortlich, nach gründlicher Einarbeitung Sie erstellen Simulationsmodelle und Implementieren diese in eine höher aggregierte Softwareumgebung Sie führen die Integration der Gesamtsimulation eigenständig durch, Sie verifizieren diese mit Hilfe geeigneter Testrahmen Sie überprüfen das Modellverhalten in einem operationellen Kontext hinsichtlich Plausibilität und Realitätsnähe Sie analysieren identifizierte Auffälligkeiten bzw. Fehler gemeinsam im Team und ziehen im Bedarfsfall die jeweiligen Expert:innen zurate Sie festigen Ihr Verständnis über das Flugverhalten unterschiedlichster Flugkörper und setzen Ihre dabei erworbenen Erkenntnisse kontinuierlich um  Abgeschlossenes Studium im Bereich Luft- und Raumfahrt, Maschinenbau, Elektrotechnik, Mathematik, Informatik oder vergleichbarer Studiengänge Kenntnisse im Umgang mit MATLAB / SIMULINK Erste Kenntnisse im Bereich Regelungstechnik und/oder Algorithmen-Auslegung Idealerweise Kenntnisse im Bereich Flugregelung und/oder Flugsystemdynamik Den Wunsch, gemeinsam mit dem Team zu wachsen Eigenmotivation und Fähigkeit zur analytischen und nachweisorientierten Herangehensweise an komplexe Problemstellungen Sehr gute Deutschkenntnisse in Wort und Schrift  Bei uns arbeiten Sie in spannenden nationalen und zunehmend internationalen Projekten An Ihrem ersten Arbeitstag bekommen Sie eine/n Mentor:in , einen Einarbeitungsplan und an den Infotagen lernen Sie neue Kolleg:innen aus verschiedenen Fachbereichen kennen Mit mobiler Arbeit und Gleitzeit versprechen wir Ihnen Work-Life-Balance Im Hauptstandort (Ottobrunn) können wir einen KiTa-/KiGa-Platz für Ihr Kind reservieren Eine attraktive betriebliche Altersvorsorge und vermögenswirksame Leistungen gehören zum Gehaltspaket Wir bieten Ihnen Perspektive : kontinuierliche Feedbackgespräche, Trainings und Förderprogramme sind für uns selbstverständlich",,Würzburg,Ende März,[],{},[],[],0,0
27,Technischer Support Batteriespeichersysteme (m/w/d) im Großraum Dortmund oder München,,,Würzburg,Ende März,[],{},[],[],0,0
28,Software Architekt .NET / C# Software Engineer (m/w/d)," Wir suchen dich zur Verstärkung unseres Entwicklungsteams in Berlin, Hannover, Leipzig, München, Passau oder bei Eignung im Home Office",,Würzburg,Ende März,[],{},[],[],0,0
29,IT24 Expert Container Technology - Software development environment (d/m/w)," Airbus ist Pionier einer nachhaltigen Luft- und Raumfahrt für eine sichere und vereinte Welt. Das Unternehmen arbeitet ständig an Innovationen für effiziente und technologisch fortschrittliche Lösungen in den Bereichen Luft- und Raumfahrt, Verteidigung sowie vernetzte Dienstleistungen. Airbus bietet moderne und treibstoffeffiziente Verkehrsflugzeuge sowie dazugehörige Dienstleistungen an. Airbus ist auch führend in Europa im Bereich Verteidigung und Sicherheit und eines der größten Raumfahrtunternehmen der Welt. Im Bereich Hubschrauber stellt Airbus die weltweit effizientesten Lösungen und Dienstleistungen für zivile und militärische Hubschrauber bereit.",,Würzburg,Ende März,[],{'male-coded': ['LOGISCH']},[],['LOGISCH'],0,1
30,HR IT Developer (w/m/d) HCM Cloud Master Data & Payroll Mapping," Du hast eine Leidenschaft für neue Technologien und möchtest zu einer nachhaltigen, grüneren Zukunft beitragen? Dann werde ein Changemaker (w/m/d) und verstärke unser Team als HR IT Developer (w/m/d) HCM Cloud Master Data &amp; Payroll Mapping bei der E.ON Digital Technology (EDT). Die E.ON Digital Technology spielt eine Schlüsselrolle bei der Gestaltung der Energiewende, indem wir die digitale Transformation für den gesamten E.ON Konzern in ganz Europa vorantreiben. Wir entwickeln kreative Ideen, gehen neue Wege, lassen Visionen Wirklichkeit werden und erwecken innovative Technologien zum Leben. In flexiblen Arbeitsmodellen und Teams liefern wir nachhaltige Technologielösungen für die Energieherausforderungen von morgen. Wir bei E.ON haben uns auf den Weg begeben unsere HR Prozesse neu zu erfinden, mit dem Fokus auf User Experience, End-to-End Prozessunterstützung und der Ermächtigung unserer Mitarbeiter. Ein Kernelement dieser Initiative ist die Einführung einer neuen Oracle HCM Cloud Lösung für den kompletten Mitarbeiter Lebenszyklus. Hierfür suchen wir nach Verstärkung für unser Team um bei den neuen Herausforderungen stets die Kontrolle bei uns in E.ON zu halten. Schließe dich uns an und zusammen bringen wir die E.ON HR auf das nächste Level! authentisch &amp; ambitioniert - Dein Profil vielseitig &amp; durchdacht - Unsere Benefits",,Würzburg,Ende März,[],{'female-coded': ['KREATIV']},['KREATIV'],[],1,0
31,(Senior) IT Security Engineer (m/w/d)," Die noris network AG bietet Unternehmen Lösungen in den Bereichen IT-Outsourcing, Cloud Services, Network &amp; Security und Datacenter. Technologische Basis dieser Services ist eine leistungsfähige IT-Infrastruktur mit einem eigenen Hochleistungsbackbone und mehreren Hochsicherheitsrechenzentren. Seit 1993 haben wir uns zu einem der IT-Spezialisten mit mehr als 500 Mitarbeitern entwickelt. Das alles wäre aber nicht möglich ohne ein starkes Team. Deswegen legen wir Wert auf die permanente Weiterentwicklung und Förderung aller Mitarbeiter und sind auf der Suche nach Verstärkung an den Standorten Nürnberg, Berlin, Aschheim und remote  durch Dich? Ansprechpartner (m/w/d) für unsere Kunden bei der Planung, Konzeptionierung und Administration ihrer Security-Infrastruktur mit Technologien wie (u. U. Next Generation oder Web Application) Firewalls Unterstützung unserer Fachteams im 2nd- bzw. 3rd-Level-Support und unserer Betriebsteams bei der Administration der Kundensysteme sowie Set-ups Kontinuierliche Anhebung des Sicherheitsniveaus durch Analyse und Verbesserung bestehender Systemlandschaften Nachhaltige Behebung sowie Lösung von Störungen und Problemen Planung bzw. Durchführung von Standard-Changes gemäß ITIL Teilnahme an Rufbereitschaftsdiensten Erfolgreich abgeschlossene, fachspezifische Berufsausbildung oder abgeschlossenes Studium im Fachbereich Informatik bzw. eine vergleichbare Qualifikation Sicherer Umgang mit den Firewall-(Security-)Technologien von Palo Alto bzw. Fortinet Fundiertes Know-how in den Bereichen VPN, Authentisierung, Verschlüsselung sowie dynamische Routing-Protokolle Linux-Expertise (versierter Umgang mit der Kommandozeile sowie Skriptsprachen) Erfahrung in der Automatisierung verschiedener Themen, z. B. Patchmanagement Starke analytische sowie problemlösende Fähigkeiten insbesondere bei der Identifizierung und Minderung von Sicherheitsrisiken nach ITIL Verhandlungssichere Deutsch- und gute Englischkenntnisse in Wort und Schrift Hands-on-Mentalität sowie Einsatz- und Lernbereitschaft bezüglich technologischer Entwicklungen Unbefristeter Arbeitsvertrag und flexible Arbeitszeiten Arbeiten an verschiedenen Standorten (z. B. Nürnberg, Aschheim oder Berlin) bzw. auch zu 100 % remote möglich Hochwertiges Equipment: Laptop und Firmenhandy, auch zur privaten Nutzung Individuelle Förderung bzw. Weiterentwicklung durch Inhouse-Trainings und externe Schulungen Kinderbetreuungskostenzuschuss (pro Monat und Kind) sowie Corporate Benefits Attraktive Firmenevents (inklusive Reisekostenübernahme), kollegiales und wertschätzendes Arbeitsumfeld sowie Duz-Kultur ab dem ersten Tag Gesundheitsangebote, JobRad-Leasing und betriebliche Altersvorsorge mit Zuschuss",,Würzburg,Ende März,[],"{'female-coded': ['KIND'], 'male-coded': ['INDIVIDUELL', 'VERHANDLUNGSSICHER']}",['KIND'],"['INDIVIDUELL', 'VERHANDLUNGSSICHER']",1,2
32,Service Package Owner Software Management (m/w/d)," Als primärer Digitalisierungspartner der Bundeswehr erbringen wir stabile, sichere und effiziente IT-Services im In- und Ausland, vom Grundbetrieb bis in den einsatznahen Bereich und tragen so zur kontinuierlichen Erhöhung der Führungs- und Einsatzfähigkeit der Bundeswehr bei. Mit über 7.000 Kolleg*innen betreiben und modernisieren wir eine der größten und komplexesten IT-Infrastrukturen in Deutschland. Wir suchen verantwortungsvolle IT-Spezialist*innen, die die Bundeswehr-IT aus Überzeugung in herausfordernden Digitalisierungsvorhaben weiterentwickeln und so einen Beitrag zur Sicherheit Deutschlands leisten wollen.  Fachliche Verantwortung für das Service Package und dessen Steuerung über den gesamten Lifecycle Verantwortung für die Kosten des Service-Packages samt Durchführung der kosten- und mengenbasierenden Planungen und Forecasts Kontinuierliche Weiterentwicklung und Optimierung des Service Package im Rahmen von CSI-Maßnahmen sowie gemäß neuer Anforderungen Ableitung der strategischen Ziele für das Service Package aus den übergeordneten Strategien sowie Umsetzung entsprechender Maßnahmen Sicherstellung der Einhaltung vereinbarter Service Parameter (Service Level, Operational Level) sowie der Wirtschaftlichkeit der Service-Erbringung Mitarbeit in Gremien der Bundeswehr (z.B. FAG, AG) sowie Mitwirkung an der Umsetzung der BWI-weiten Sourcing-Strategie Abgeschlossenes Studium im IT-Bereich oder eine vergleichbare Ausbildung Etwa 6 Jahre Berufserfahrung im IT Service Management sowie Erfahrung in der fachlichen Führung und Steuerung von virtuellen Teams Sehr gute Kenntnisse in der Softwarebereitstellung auf client-basierten Systemen Ganzheitliche Sicht auf und ein ausgeprägtes Verständnis von End-2-End Serviceverantwortung sowie -Dienstleistung, ITIL-Zertifizierung von Vorteil Hohes Maß an Verantwortungsbewusstsein, eine proaktive sowie lösungs- und kundenorientierte Handlungsweise, Entscheidungsfreudigkeit und gute Kommunikationsfähigkeiten Als primärer Digitalisierungspartner der Bundeswehr befähigen und unterstützen wir in Frieden, Krise und Krieg Sie wirken in innovativen Digitalisierungsprojekten mit und arbeiten eng mit den Herstellern zusammen (z.B. Cisco &amp; Microsoft) Die BWI bietet eine marktgerechte Vergütung, einen sicheren Arbeitsplatz sowie eine prämierte und arbeitgeberfinanzierte betriebliche Altersvorsorge Sie starten grundsätzlich mit 30 Tagen Jahresurlaub mit Option auf individuelle Anpassungen Wir ermöglichen Ihnen Flexibilität, um Beruf und Privatleben in Einklang zu bringen",,Würzburg,Ende März,[],"{'female-coded': ['KUNDENORIENTIERT', 'VERANTWORTUNGSVOLL'], 'male-coded': ['ENTSCHEIDUNGSFREUDIG', 'HERAUSFORDERND', 'INDIVIDUELL', 'RATIONAL']}","['KUNDENORIENTIERT', 'VERANTWORTUNGSVOLL']","['ENTSCHEIDUNGSFREUDIG', 'HERAUSFORDERND', 'INDIVIDUELL', 'RATIONAL']",2,4
33,HR IT Developer (w/m/d) HCM Personnel Administration & Organizational Management," Du hast eine Leidenschaft für neue Technologien und möchtest zu einer nachhaltigen, grüneren Zukunft beitragen? Dann werde ein Changemaker (w/m/d) und verstärke unser Team als HR IT Developer (w/m/d) HCM Personnel Administration &amp; Organizational Management bei der E.ON Digital Technology (EDT). Die E.ON Digital Technology spielt eine Schlüsselrolle bei der Gestaltung der Energiewende, indem wir die digitale Transformation für den gesamten E.ON Konzern in ganz Europa vorantreiben. Wir entwickeln kreative Ideen, gehen neue Wege, lassen Visionen Wirklichkeit werden und erwecken innovative Technologien zum Leben. In flexiblen Arbeitsmodellen und Teams liefern wir nachhaltige Technologielösungen für die Energieherausforderungen von morgen. Wir bei E.ON haben uns auf den Weg begeben unsere HR Prozesse neu zu erfinden, mit dem Fokus auf User Experience, End-to-End Prozessunterstützung und der Ermächtigung unserer Mitarbeiter. Ein Kernelement dieser Initiative ist die Einführung einer neuen Oracle HCM Cloud Lösung für den kompletten Mitarbeiter Lebenszyklus. Hierfür suchen wir nach Verstärkung für unser Team um bei den neuen Herausforderungen stets die Kontrolle bei uns in E.ON zu halten. Schließe dich uns an und zusammen bringen wir die E.ON HR auf das nächste Level! authentisch &amp; ambitioniert - Dein Profil vielseitig &amp; durchdacht - Unsere Benefits",,Würzburg,Ende März,[],{'female-coded': ['KREATIV']},['KREATIV'],[],1,0
34,Softwareentwickler Java (m/w/d)," Wir sind der Digitalisierungspartner der genossenschaftlichen FinanzGruppe und vereinen jahrzehntelange Banking-Expertise mit moderner Informationstechnologie. Die speziell auf Banken zugeschnittenen IT-Lösungen und Leistungen reichen vom Rechenzentrumsbetrieb über das Bankverfahren agree21 bis hin zur App-Entwicklung. Als Java-Entwickler*in bist du dafür zuständig, unsere Softwarelösungen neu oder kontinuierlich weiterzuentwickeln. Dabei hast du relevante Rahmenbedingungen im Blick  von den Kundenwünschen bis hin zu den Vorgaben der Gesetzgeber. Du bist Teil eines hochmotivierten und agilen Teams. Du hast Freude an der Mitgestaltung von Software-Architekturen und -Lösungen und übernimmst Entwicklungstätigkeiten von der Anforderungsanalyse über die Entwicklung und Testautomation bis hin zu Wartung und Support neuer Lösungen und Produkte. Du nutzt bei der Entwicklung aktuelle Technologien, Standards, Frameworks und Tools. Dabei setzt du dich für ""Clean Code"" und modulare Entwicklung ein.  Abgeschlossenes Studium mit Schwerpunkt Informatik oder abgeschlossene Ausbildung zur*zum Fachinformatiker*in mit mehrjähriger Erfahrung in einem vergleichbaren Aufgabengebiet bzw. vergleichbare Qualifikation Du solltest fundierte Kenntnisse in der Softwareentwicklung mit Java 8+ in mehreren der folgenden Bereiche und Technologien mitbringen:   Java-Frameworks (Spring/Spring Boot 2x/JAX-WS) und RESTful Web Services Frontend-Technologien (Angular 7+, Vue.js, JavaScript, CSS, PHP, HTML5) Datenbanken und DB-Zugriffe (Oracle, Db2, H2, JDBC, Hibernate) Containerisierung (Docker, OpenShift, Kubernetes) Werkzeuge (Jira, Confluence, Git) Continuous Integration (Jenkins) Build-Management (Gradle, Maven) Prozesssteuerung (Camunda) Testautomatisierung (Selenium) Standards und Protokolle (OAuth2, OpenID Connect, JWT) Du verfügst über ausgeprägte konzeptionelle und analytische Fähigkeiten, eine selbstständige und lösungsorientierte Arbeitsweise sowie über ein hohes Maß an Qualitätsbewusstsein. Du bist kreativ, zeigst Engagement und Neugier für neue Technologien. Zuverlässigkeit und gute Kommunikationsfähigkeit sowie kundenorientiertes Denken und Handeln zeichnen dich aus. Für dich ist Agilität kein Fremdwort, sondern gelebte Realität. Du bist Teamplayer*in und gibst dein Wissen und deine Erfahrungen gerne weiter. Neben einem attraktiven Tarifgehalt und 30 Tagen Urlaub bieten wir dir folgende Benefits:",,Würzburg,Ende März,[],"{'female-coded': ['KUNDENORIENTIERT', 'ZUVERLÄSSIG'], 'male-coded': ['LÖSUNGSORIENTIERT']}","['KUNDENORIENTIERT', 'ZUVERLÄSSIG']",['LÖSUNGSORIENTIERT'],2,1
35,Senior Frontend Developer Angular / React (w|m|d)," Die BridgingIT GmbH gestaltet mit passgenauen Software-Lösungen und Cloud-Plattformen die digitalen Prozesse und die agile Arbeitswelt von morgen. Als Teil der bridgingIT-Gruppe , einer herstellerunabhängigen, produktneutralen Technologie- und Unternehmensberatung, unterstützen wir unsere Kunden aus verschiedenen Branchen bei ihren wegweisenden Veränderungsvorhaben. Wir sind eine wertebasierte Organisation mit Verantwortungskultur : Werte wie menschliche Nähe, Vielfalt und Vertrauen begleiten dich täglich. Unsere 700 Kolleginnen und Kollegen unserer Gruppe finden an unseren 11 Standorten Karriere- und Weiterbildungsmöglichkeiten, Flexibilität und Familienfreundlichkeit. Du entwickelst komplexe Webanwendungen auf Basis von Angular oder React. Du entwirfst Schnittstellen-Spezifikationen und stimmst diese im Team ab. Du arbeitest strukturiert innerhalb agiler Teams an Problemlösungen und lernst neue Technologien und Methoden kennen. Du entwickelst innovative Themen in unseren Communities und stehst bei deiner persönlichen Entwicklung nicht still. Du übernimmst Verantwortung in der Ausgestaltung von Best Practices und unterstützt beim Coaching von Nachwuchskräften. Du bringst ein abgeschlossenes Studium der Informatik, einer verwandten Fachrichtung oder eine vergleichbare Ausbildung mit. Du hast mehrjährige Berufserfahrung in der Entwicklung von Angular- oder React-Webanwendungen gesammelt. Du besitzt solide Kenntnisse in einer der folgenden Programmiersprachen: Java, .NET, Node.js, Python oder Go. Du verstehst neue Anforderungen und hast Spaß daran diese umzusetzen. Du begeisterst dich für aktuelle Trends rund um die moderne Softwareentwicklung in allen Projektphasen. Du beherrschst Deutsch auf mind. B2 Niveau und kannst es erfolgreich im Berufsalltag einsetzen - Your German language proficiency is at least B2 level, and you are able to use it successfully in your daily work. 30 Tage Urlaub + die Option auf 10 weitere Urlaubstage im Jahr Bis zu 183 Tage aus dem europäischen Ausland arbeiten Mobility Package  (elektrischer) Firmenwagen, BahnCard oder Fahrrad Leasing Mobiles Arbeiten Flexible Arbeitszeiten Vergünstigungen, wie Kindergartenzuschuss, Fitnesscenter, etc. Professionelles Onboarding durch persönliches Mentoring Lebensarbeitszeitkonto  Möglichkeit Urlaub oder Bonus anzusparen Externe und interne Weiterbildungsmöglichkeiten und individuelle Coachings Verschiedene Werteinitiativen , wie green&amp;social, in denen du dich einbringen kannst",,Würzburg,Ende März,[],"{'female-coded': ['KIND'], 'male-coded': ['INDIVIDUELL']}",['KIND'],['INDIVIDUELL'],1,1
36,IT Consultant - Weiterentwicklung zum Cyber Defender w/m/d," Computacenter ist ein internationales IT-Unternehmen mit einer 40-jährigen Erfolgsgeschichte. Allein in Deutschland bringen rund 7.000 Menschen die digitale Transformation voran: Sie entwickeln IT-Strategien, implementieren neue Technologien oder managen komplexe Infrastrukturen - für die Mehrheit der DAX-Unternehmen ebenso wie für große öffentliche Auftraggeber. Du hast Lust auf Cyber Security? Du verstehst Security-Konzepte oder interessierst Dich für Malware-Analysen? Du interessierst Dich für die neuesten Angriffe und Schwachstellen und deren Auswirkungen? Vielleicht hast Du sogar schon Erfahrung als IT Consultant und möchtest den nächsten Karriereschritt machen? Dann haben wir etwas für Dich! Grundlegendes Verständnis von IT-Security Erfahrungen mit Cyber-Defence-Tools wie z. B. Blue-/Redteaming sind von Vorteil Sehr gute Kenntnisse in Windows- oder Linux-Betriebssystemen oder Netzwerksicherheit Mindestens ein Jahr Berufserfahrung in der IT-Security-Branche Scripting- und Programmiererfahrung sind ein Plus Selbstständige Arbeitsweise und verbindliches Auftreten nach außen Sicheres Auftreten und Kommunizieren in Deutsch und Englisch",,Würzburg,Ende März,[],{},[],[],0,0
37,C++ Software-Entwickler (m/w/d) Microwave Imaging Products," - Softwareentwicklung für unterschiedliche State-of-the-art Microwave Imaging-Systeme in den Bereichen Flughafensicherheit, Loss Prevention und Automotive - Arbeit in einem agilen Softwareentwicklungsteam mit vielen Gestaltungsmöglichkeiten - Konzeptionierung &amp; Entwicklung von neuen Software-Features, Pflege von bestehenden Software-Komponenten sowie deren Anpassung für Kundenprojekte - Konzeptionierung, Weiterentwicklung &amp; Pflege von Betriebssystem-Infrastruktur - Zusammenarbeit mit Teams aus den Bereichen Computer Vision &amp; Künstliche Intelligenz, Big Data &amp; Cloud-Infrastruktur sowie Hardware-Entwicklung und Fertigung - Abgeschlossenes Studium der (technischen) Informatik oder einer vergleichbaren Studienrichtung - Sehr gute Kenntnisse in der objektorientierten Softwareentwicklung mit C++ (moderne Standards) - Erfahrung in der Entwicklung von GUI-Applikationen mit gängigen Frameworks wie Qt und WindowsForms/WPF - Erfahrung in gängigen Netzwerkprotokollen und Techniken (TCP, UDP, gRPC, HTTP, TLS), sowie nebenläufiger Programmierung - Sehr gute Kenntnisse in den Betriebssystemen Microsoft Windows und Linux inklusive der Betriebssystem-APIs - Erfahrungen mit CMake und Conan wünschenswert - Engagierte, eigenständige, strukturierte und teamorientierte Arbeitsweise - Kommunikationsstärke, gepaart mit einem sicheren Auftreten - Sehr gute Deutsch- und Englischkenntnisse in Wort und Schrift Bei Rohde & Schwarz können Sie Ihre eigenen Einfälle zu echten Innovationen machen! Unser Headquarter in München bietet Ihnen dafür die perfekten Voraussetzungen: flexible Arbeitszeitmodelle und Homeofficemöglichkeiten für den notwendigen Freiraum, abwechslungsreiches Essen und Sportmöglichkeiten für eine intakte Gesundheit und individuelle Weiterbildungsangebote für Ihre persönliche Entwicklung. Bringen auch Sie Ihre Ideen bei uns ein!",,Würzburg,Ende März,[],"{'female-coded': ['ENGAGIERT'], 'male-coded': ['INDIVIDUELL']}",['ENGAGIERT'],['INDIVIDUELL'],1,1
38,Product Manager Bonding Systems (m/w/d)," Innovative Produkte für namhafte Kunden in einem zukunftsorientierten, internationalen Markt  das ist SÜSS MicroTec. Die SÜSS-Gruppe mit Hauptsitz in Garching bei München entwickelt und fertigt Prozesslösungen für die Mikrostrukturanwendungen in der Halbleiterindustrie und verwandten Märkten  ein Bereich, in dem SÜSS MicroTec über 75 Jahre Erfahrung verfügt. Unser Portfolio umfasst ein breites Spektrum an Produkten und Lösungen für die Bereiche Backend-Lithografie, Wafer-Bonding und Fotomaskenreinigung. Hinzu kommen hochspezialisierte Lithografie-Tools für das Imprinting. Markt- und Wettbewerbsanalyse im Bereich Bonding Systems Produktpositionierung sowie Mitarbeit beim Portfoliomanagement Definition der Kunden- und Marktanforderungen Produktbezogene Definition der Entwicklungs- und Applikations-Roadmap Erstellung der Lastenhefte für Entwicklung- und CIP (Continuous Improvement Process)-Projekten Product-Lifecycle-Management Bonding Systems (Portfoliomanagement, Produktan- und -abkündigungen, Upgrades etc.) Mithilfe bei der strategischen Umsatzplanung, Ermittlung von Herstellkosten und Pflege von Preislisten inklusive Preisgestaltung sowie Freigabe von Angeboten Verantwortung für technische Inhalte des Produktmarketings (Präsentation, Web, Broschüren, Messen / Konferenzen, Vorträge) Schulung und Unterstützung der Vertriebsorganisation bei Markteinführung und strategischen Kunden Definition und Unterstützung von strategischen Kunden / strategischen Projekten Abgeschlossenes Fach- / Hochschulstudium oder Promotion in den Bereichen Wirtschaftsingenieurwesen, Maschinenbau, Elektrotechnik, Mikrosystemtechnik, Physik, Chemie oder verwandte Bereiche Vorkenntnisse im Bereich Spezialmaschinenbau und/oder Halbleiterindustrie wünschenswert Idealerweise Berufserfahrung in den Bereichen Vertrieb, Marketing, Business Development, Forschung / Entwicklung oder Applikation Selbstständiges, zielorientiertes und eigenverantwortliches Arbeiten Sehr gute Kommunikationsfähigkeiten in Deutsch und Englisch Zielgerichtete Weiterentwicklung",,Würzburg,Ende März,[],{},[],[],0,0
